week_code,cases,date,year,month,week_of_year,quarter
2021-W48,48,2021-11-29,2021.0,11.0,48,4.0
2021-W49,65,2021-12-06,2021.0,12.0,49,4.0
2021-W50,61,2021-12-13,2021.0,12.0,50,4.0
2021-W51,68,2021-12-20,2021.0,12.0,51,4.0
2021-W52,79,2021-12-27,2021.0,12.0,52,4.0
2022-W01,106,2022-01-03,2022.0,1.0,1,1.0
2022-W02,146,2022-01-10,2022.0,1.0,2,1.0
2022-W03,180,2022-01-17,2022.0,1.0,3,1.0
2022-W04,171,2022-01-24,2022.0,1.0,4,1.0
2022-W05,154,2022-01-31,2022.0,1.0,5,1.0
2022-W06,169,2022-02-07,2022.0,2.0,6,1.0
2022-W07,206,2022-02-14,2022.0,2.0,7,1.0
2022-W08,201,2022-02-21,2022.0,2.0,8,1.0
2022-W09,263,2022-02-28,2022.0,2.0,9,1.0
2022-W10,369,2022-03-07,2022.0,3.0,10,1.0
2022-W11,421,2022-03-14,2022.0,3.0,11,1.0
2022-W12,441,2022-03-21,2022.0,3.0,12,1.0
2022-W13,510,2022-03-28,2022.0,3.0,13,1.0
2022-W14,643,2022-04-04,2022.0,4.0,14,2.0
2022-W15,734,2022-04-11,2022.0,4.0,15,2.0
2022-W16,942,2022-04-18,2022.0,4.0,16,2.0
2022-W17,1003,2022-04-25,2022.0,4.0,17,2.0
2022-W18,846,2022-05-02,2022.0,5.0,18,2.0
2022-W19,1315,2022-05-09,2022.0,5.0,19,2.0
2022-W20,1276,2022-05-16,2022.0,5.0,20,2.0
2022-W21,1567,2022-05-23,2022.0,5.0,21,2.0
2022-W22,1454,2022-05-30,2022.0,5.0,22,2.0
2022-W23,1460,2022-06-06,2022.0,6.0,23,2.0
2022-W24,1254,2022-06-13,2022.0,6.0,24,2.0
2022-W25,1172,2022-06-20,2022.0,6.0,25,2.0
2022-W26,1187,2022-06-27,2022.0,6.0,26,2.0
2022-W27,1164,2022-07-04,2022.0,7.0,27,3.0
2022-W28,918,2022-07-11,2022.0,7.0,28,3.0
2022-W29,1036,2022-07-18,2022.0,7.0,29,3.0
2022-W30,1092,2022-07-25,2022.0,7.0,30,3.0
2022-W31,896,2022-08-01,2022.0,8.0,31,3.0
2022-W32,879,2022-08-08,2022.0,8.0,32,3.0
2022-W33,679,2022-08-15,2022.0,8.0,33,3.0
2022-W34,662,2022-08-22,2022.0,8.0,34,3.0
2022-W35,581,2022-08-29,2022.0,8.0,35,3.0
2022-W36,570,2022-09-05,2022.0,9.0,36,3.0
2022-W37,544,2022-09-12,2022.0,9.0,37,3.0
2022-W38,472,2022-09-19,2022.0,9.0,38,3.0
2022-W39,426,2022-09-26,2022.0,9.0,39,3.0
2022-W40,397,2022-10-03,2022.0,10.0,40,4.0
2022-W41,376,2022-10-10,2022.0,10.0,41,4.0
2022-W42,373,2022-10-17,2022.0,10.0,42,4.0
2022-W43,314,2022-10-24,2022.0,10.0,43,4.0
2022-W44,318,2022-10-31,2022.0,10.0,44,4.0
2022-W45,294,2022-11-07,2022.0,11.0,45,4.0
2022-W46,315,2022-11-14,2022.0,11.0,46,4.0
2022-W47,265,2022-11-21,2022.0,11.0,47,4.0
2022-W48,242,2022-11-28,2022.0,11.0,48,4.0
2022-W49,327,2022-12-05,2022.0,12.0,49,4.0
2022-W50,290,2022-12-12,2022.0,12.0,50,4.0
2022-W51,270,2022-12-19,2022.0,12.0,51,4.0
2022-W52,285,2022-12-26,2022.0,12.0,52,4.0
2014-W53,158,,,,,
